82	-0.005400	0.031600	2.314400	0.666800	0.003644
85	-0.008600	0.038600	3.173000	0.670100	0.003663
88	-0.007900	0.038300	2.768600	0.637900	0.004020
91	-0.006900	0.035400	2.655300	0.667300	0.003430
94	-0.006800	0.034700	2.567500	0.629200	0.003937
97	-0.006700	0.033300	2.534600	0.588400	0.003433
100	-0.005700	0.030900	2.394300	0.645100	0.003597
103	-0.005500	0.030600	2.346100	0.644000	0.003622
106	-0.005400	0.030700	2.192400	0.611000	0.003573
109	-0.005000	0.030800	2.048600	0.645700	0.003361
112	-0.005400	0.031800	1.999500	0.601300	0.003487
115	-0.005700	0.032800	2.057400	0.589700	0.003362
118	-0.005600	0.033500	1.961300	0.600400	0.003619
121	-0.006100	0.034400	2.119800	0.621300	0.003622
124	-0.006600	0.035900	2.158700	0.598000	0.003469
127	-0.006900	0.037100	2.177700	0.588400	0.003962
130	-0.007200	0.037900	2.212700	0.587100	0.003802
133	-0.006500	0.037900	2.021100	0.616900	0.003675
136	-0.007000	0.038400	2.175800	0.632200	0.003579
139	-0.008100	0.040600	2.330900	0.583300	0.003701
142	-0.007200	0.041500	2.010300	0.604900	0.003505
145	-0.007900	0.042500	2.148800	0.591000	0.003468
148	-0.008300	0.043000	2.279500	0.610500	0.003428
151	-0.008400	0.045200	2.085800	0.582300	0.003497
154	-0.008600	0.044400	2.294400	0.608400	0.003743
157	-0.009500	0.046900	2.358100	0.589300	0.003967
160	-0.009900	0.047600	2.420100	0.580100	0.003691
163	-0.010100	0.048700	2.443400	0.588800	0.003823
166	-0.010200	0.049500	2.404500	0.578600	0.003850
169	-0.010500	0.050200	2.441000	0.581500	0.003667
172	-0.010500	0.050100	2.471100	0.590800	0.003775
175	-0.011700	0.052800	2.595600	0.562900	0.003751
178	-0.011000	0.052100	2.545500	0.595500	0.003979
181	-0.011600	0.054200	2.536400	0.581600	0.003932
184	-0.012300	0.053800	2.812400	0.602000	0.003921
187	-0.012100	0.055300	2.656500	0.604500	0.003862
190	-0.012500	0.056000	2.682300	0.592900	0.003877
193	-0.012000	0.056700	2.473700	0.594500	0.003730
196	-0.011500	0.055300	2.529200	0.632900	0.003760
199	-0.011600	0.056200	2.491500	0.629800	0.004747
202	-0.011800	0.057300	2.415400	0.610000	0.005020
205	-0.012400	0.058300	2.496600	0.603800	0.004735
208	-0.012100	0.058600	2.375500	0.591500	0.005160
211	-0.012000	0.058700	2.354400	0.595600	0.005036
214	-0.011900	0.058100	2.398100	0.610200	0.004945
217	-0.013000	0.060300	2.486800	0.584400	0.005114
220	-0.012200	0.058300	2.456300	0.609700	0.005000
223	-0.013300	0.060600	2.529800	0.581000	0.005224
226	-0.013200	0.060500	2.512100	0.583900	0.005475
229	-0.012500	0.059600	2.428700	0.589100	0.005430
232	-0.012100	0.059000	2.417900	0.617600	0.005060
235	-0.012500	0.059700	2.420100	0.594800	0.005635
238	-0.012200	0.059900	2.330600	0.603300	0.005197
241	-0.013300	0.061200	2.497400	0.579200	0.005197
244	-0.012500	0.061300	2.296300	0.593900	0.005749
247	-0.011600	0.060300	2.127400	0.593000	0.005441
250	-0.011600	0.058200	2.276600	0.618700	0.006027
253	-0.011700	0.058600	2.252800	0.615000	0.005302
256	-0.011200	0.058600	2.095800	0.606800	0.004766
259	-0.010600	0.057900	1.956400	0.600300	0.004589
262	-0.010700	0.057000	2.034000	0.601000	0.004827
265	-0.010300	0.057200	1.858900	0.576600	0.004624
268	-0.009700	0.056800	1.714800	0.568900	0.005030
271	-0.009600	0.056300	1.695800	0.566200	0.003654
